id,year,majortopic,subtopic,title,summary
19975,2002,20,2012,"After Torricelli, Race Now Suits The Democrats","NJ senate race"
19976,2002,16,1615,"Smallpox Plan Delays","smallpox vaccination program"
19977,2002,19,1927,"Bombing at Resort in Indonesia Kills 150 and Hurts Scores More","bombing in Bali"
19978,2002,16,1619,"RUMSFELD ORDERS WAR PLANS REDONE FOR FASTER ACTION","rumsfeld wants new war plans"
19979,2002,12,1299,"Living in a Sniper's Shadow With Defiance and Fatalism","sniper attacks"
19980,2002,19,1927,"Signs of Revived Qaeda Are Seen In Latest Strikes and New Tapes","Al Qaeda revival"
19981,2002,16,1605,"Iraq Tour of Suspected Sites Gives Few Clues on Weapons","Iraqi weapons sites"
19982,2002,14,1409," New York's Homeless, Back Out in the Open","NYC homeless"
19983,2002,1,100,"Economy Lurks Over the Races For Governor","SC governor race and the economy"
19984,2002,19,1927,"Bombing in Bali Seen as Opening New Front in Fight on Terror","Bali bombing"
19985,2002,19,1927,"Survivors of Indonesia Blast Are Left Stunned and Searching","Bali Bombing"
19986,2002,12,1299,"Endless Frustration But Little Evidence In Search for Sniper","sniper attacks"
19987,2002,16,1619,"RUMSFELD FAVORS FORCEFUL ACTIONS TO FOIL AN ATTACK","Rumsfeld memo favors forceful actions for deterrence"
19988,2002,20,2012,"EARLY VOTING PUTS MANY CANDIDATES IN EARLY OVERDRIVE","early voting"
19989,2002,19,1910,"The Troubles in Ulster Shift From Street to the Assembly","ulster troubles"
19990,2002,16,1605,"U.S.-FRENCH SPLIT ON IRAQ DEEPENS","US-French split over iraq"
19991,2002,12,1299,"WOMAN IN VIRGINIA IS SHOT TO DEATH; SNIPER SUSPECTED","sniper strikes again"
19992,2002,29,2900,"The Giants Win the Pennant! The Giants Win the Pennant!","giants win NL pennant"
19993,2002,19,1927,"Seeking Names for Bali's Anonymous Dead","bali bombing"
19994,2002,29,2900," For New York Fans, It's More Like Mudville","NY sports"
19995,2002,19,1927,"BUSH TIES BOMBING AT BALI NIGHTCLUB TO QAEDA NETWORK","Bali bombing ties to al qaeda"
19996,2002,24,2400,"McCall Charges Pataki Created A Fiscal 'Mess'","NY governor race; attacks over the economy"
19997,2002,19,1921,"Iraqis Cheer for Their President, But Real Mood Is Hard to Read","referendum on Saddam Hussein in iraq"
19998,2002,12,1299,"Sniper Left Clues This Time, and Police Report Progress in Inquiry","sniper attacks"
19999,2002,12,1299,"Escaping the Grip of Cancer, Only to Die at a Sniper's Hand","cancer survivor killed by sniper"
20000,2002,9,900,"Skeletons Tell Tale of Gamble By Immigrants","immigrants found dead in a grain hopper"
20001,2002,12,1210,"142 Clemency Hearings in Illinois Also Revive 142 Cases of Horror","clemency hearings for IL death row inmates"
20002,2002,29,2900,"Wild Card Matchup In the World Series","world series"
20003,2002,19,1927,"U.S. SAYS IT TOLD INDONESIA OF PLOT BY TERROR GROUP","bali bombing"
20004,2002,1,100,"STOCKS SHRUG OFF RECENT BATTERING WITH A BIG SURGE","stock surge"
20005,2002,19,1921,"A Show of Loyalty (Just Say Yes) In Iraq Vote for the One and Only","Iraqi referendum on Saddam"
20006,2002,19,1921,"Poignant Homecoming for Kidnapped Japanese","kidnapped japanese return home"
20007,2002,20,2012,"CONGRESS PASSES BILL TO CLEAN UP ELECTION SYSTEM","election reform bill passed"
20008,2002,16,1605,"NORTH KOREA SAYS IT HAS A PROGRAM ON NUCLEAR ARMS","North Korea admits a nuclear weapon program"
20009,2002,24,2400," By Saying Very Little, Pataki Sticks to Script","NY governor campaign"
20010,2002,12,1299,"Sniper Sighting Fails to Create A Clear Picture","sniper hunt"
20011,2002,3,331,"Lumpectomies Seen As Equal in Benefit To Breast Removals","breast cancer treatment options"
20012,2002,16,1605,"Bush Garners Little Support At U.N. for an Attack on Iraq","UN and Iraq war"
20013,2002,19,1927,"Indonesia Links Muslim Group With Terrorism","Indonesian group linked to terrorism"
20014,2002,23,2300,"Face to Face to Face to . . .","art museum"
20015,2002,24,2400," Pataki Viewed Favorably in Poll, Despite Qualms About Economy","ny governor"
20016,2002,12,1299,"Ashes and Tears in Lost Battle of Drug War","arson deaths"
20017,2002,16,1605,"U.S. SAYS PAKISTAN GAVE TECHNOLOGY TO NORTH KOREA","Pakistan helping North Korean nuclear program"
20018,2002,3,333,"INCREASE IN AUTISM BAFFLES SCIENTISTS","increase in childhood autism"
20019,2002,16,1605,"U.S. Presses for Deal on Iraq","U.S. pressures security council resolution to disarm iraq"
20020,2002,12,1207,"ROME WITHHOLDING FULL ENDORSEMENT OF U.S. ABUSE PLAN","Rome and the catholic abuse scandal"
20021,2002,12,1299,"Judge Throws Out Brothers' Murder Convictions","murder convictions tossed"
20022,2002,16,1615,"C.I.A. Puts Risk Of Terror Strike At 9/11 Levels","terror risk level raised"
20023,2002,12,1299,"Sniper Investigators Say a Witness Lied","sniper investigation"
20024,2002,3,333,"Hospitals Will Stop Sending Mentally Ill To Nursing Homes","mentally ill not being sent to nursing homes anymore"
20025,2002,15,1520,"Bush Tries to Shrink S.E.C. Raise Intended for Corporate Cleanup","corporate cleanup money slashed"
20026,2002,6,603,"Poorer Boroughs' Students Get Smaller Slice of Aid","federal money for poor schools"
20027,2002,20,2012,"In Political Din, South Dakotans Long for 'Mute'","south dakota senate campaign"
20028,2002,12,1207,"Many Leaders of U.S. Church Say Rome's Stance Is a Relief","rome position on abuse scandal"
20029,2002,12,1207,"VATICAN DEMANDS U.S. BISHOPS REVISE SEX-ABUSE POLICY","vatican demands on sex abuse policy"
20030,2002,12,1299,"Students Fidget Through Sniper's Lockdown","sniper attacks and schools"
20031,2002,19,1927,"Wanted for Questioning, Indonesian Cleric Falls Ill","indonesian cleric falls ill"
20032,2002,3,342,"Legislating the New York Way In a Chronic Case of Gridlock","New York legislative gridlock on tougher drunken driving laws"
20033,2002,12,1299,"New Shooting Has Similarities To Sniper Spree","sniper hunt"
20034,2002,15,1526," Casinos Revive a Town, but Poverty Persists","casinos"
20035,2002,16,1615,"Possibility of Using Trucks For Terror Remains Concern","trucks and terrorism"
20036,2002,16,1605,"U.S. TO WITHDRAW FROM ARMS ACCORD WITH NORTH KOREA","US withdrawing from accord with north korea"
20037,2002,19,1921,"From Its Palaces, Iraq's View Is of a World Filled With Allies","Iraqi view of the world"
20038,2002,2,202,"Debate on Women at Augusta Catches Woods Off Balance","debate on women in Augusta golf club"
20039,2002,12,1207,"Church Rallies Behind Its Suspended Pastor","pastor suspended for abuse"
20040,2002,12,1299,"MESSAGE WAS LEFT AT LATEST SCENE OF SNIPER ATTACK","message from the sniper"
20041,2002,16,1605,"BUSH TEAM URGES BOLD INSPECTIONS OF IRAQ'S ARSENAL","inspections for iraq urged"
20042,2002,16,1619,"Hussein and Mobs Virtually Empty Iraq's Prisons","amnesty for iraqi prisoners"
20043,2002,24,2400,"Before Bills Move in Albany, 3 Leaders Cut Deals in","ny senate deals"
20044,2002,16,1615,"PRAGUE DISCOUNTS AN IRAQI MEETING","9/11 investigations"
20045,2002,19,1921,"Israeli Settlers' Zeal Forces Palestinians To Flee Their Town","palestinians leaving a west bank town"
20046,2002,16,1605,"Trying to Figure Out North Korea Motives","North Korean secret nuclear program"
20047,2002,20,2012,"For Hillary Clinton, A Dual Role as Star And as Subordinate","Hillary Clinton's role in the senate"
20048,2002,16,1605,"BUSH DECLARES U.S. IS USING DIPLOMACY TO DISARM HUSSEIN","Bush says he will use diplomacy to disarm hussein"
20049,2002,19,1921,"14 Die as Bomb-Filled S.U.V. Rams Israeli Bus","suicide bombing in israel"
20050,2002,24,2400,"Lax New York Rules Make Big Money Talk","new york legislative battles"
20051,2002,16,1619,"U.S. REFINES PLANS FOR WAR IN CITIES","US plans for urban combat in Iraq"
20052,2002,15,1520,"S.E.C. Said to Tell Stewart of EvidenceFor Civil Complaint","Martha Stewart insider trading scandal"
20053,2002,23,2300,"Thinking Big","correction about sculptor"
20054,2002,12,1299,"POLICE ASK CALLER IN THE SNIPER CASE TO MAKE CONTACT","police trying to contact the sniper"
20055,2002,20,2012,"IN HOMESTRETCH, BUSH MAKES PUSH FOR G.O.P. GAINS","bush campaigning for gop"
20056,2002,10,1002,"SPECIAL TODAY; Cars","cars as fashion statement"
20057,2002,2,202,"New York Bill On Gay Rights Is Set for Vote","ny bill on gay rights"
20058,2002,12,1299,"BUS DRIVER KILLED; CHILDREN NOT SAFE, SNIPER'S NOTE SAYS","new sniper attack"
20059,2002,12,1299,"Disbelief and Desperation in the Sniper Zone","hunt for the sniper"
20060,2002,16,1615,"U.S. SEES THREAT TO TERROR TRIAL","terror trials"
20061,2002,16,1619,"In Opening the Gates of Its Gulag, Iraq Unleashes Pain and Protest","amnesty for iraqi prisoners"
20062,2002,20,2012,"A Last Lap in the Campaign","campaigning for midterms"
20063,2002,23,2300,"Age-Old Culinary Questions Still Stir a Fire","barbecue discussions"
20064,2002,24,2400,"DEMOCRATS PLACE MCCALL ON NOTICE","NY governor race"
20065,2002,19,1921,"Chechens Seize Moscow Theater, Taking as Many as 600 Hostages","chechens seize theater in moscow"
20066,2002,12,1299,"Police Name Man Being Sought For Questioning in Sniper Case","sniper hunt"
20067,2002,29,2900,"Bonds Takes the Spotlight, But Would Prefer the Ring","world series"
20068,2002,16,1603,"PENTAGON SETS UP INTELLIGENCE UNIT","new intelligence unit set up"
20069,2002,16,1605,"SECURITY COUNCIL GETS U.S. PROPOSAL ON DISARMING IRAQ","US proposal to disarm iraq"
20070,2002,12,1207,"Clergy's Victims Get a Chance to Speak","catholic priest abuse scandal"
20071,2002,19,1921,"Israel Arrests Officer As a Hezbollah Spy","hezbollah spy arrested"
20072,2002,3,331,"Mammogram Clinic's Flaws Highlight Gaps in U.S. Rules","mammogram clinic"
20073,2002,12,1299,"END OF A HUNT","sniper found"
20074,2002,19,1921,"Chechens Kill Hostage In Siege at Russian Hall","Chechens siege at russian hall"
20075,2002,12,1299,"With 2 Held, Police Tie Rifle in Car to Sniper Killings","sniper suspects caught"
20076,2002,12,1299,"Suspects Spent Year Traveling, Nearly Destitute","sniper suspects"
20077,2002,12,1299,"Losing Its Terror, the Mundane Turns Joyous","sniper suspects caught"
20078,2002,12,1299,"An Angry Telephone Call Provided One Crucial Clue","clue to find sniper suspect"
20079,2002,16,1615,"Terrorism Panel Says U.S. Is Still Unready","terrorism panel recommendations"
20080,2002,15,1502,"Ex-F.B.I. Chief Seen as Choice for Accounting Post","SEC picks head of accounting agency"
20081,2002,30,3000,"Wellstone Killed in Crash, Clouding Fight Over Senate","Paul Wellstone killed in a plane crash"
20082,2002,15,1502,"Bitter Divide as Securities Panel Picksan Accounting Watchdog","fight over SEC accounting watchdog"
20083,2002,19,1921,"RUSSIA RECAPTURES THEATER AFTER CHECHEN REBEL GROUP BEGINS TO EXECUTE HOSTAGES","Russian theater recaptured"
20084,2002,12,1299,"The Devoted 'Stepson'","sniper suspects"
20085,2002,12,1299,"MARYLAND COUNTY IS FIRST TO MOVE ON SNIPER CHARGES","sniper charges filed"
20086,2002,19,1921,"Anti-Semitic 'Elders of Zion' Gets New Life on Egypt TV","Egypt showing an antisemitic tv series"
20087,2002,12,1299,"The Sniper Suspects: Two Lives in Disarray","sniper suspects"
20088,2002,12,1299,"RETRACING A TRAIL","sniper trail"
20089,2002,20,2012,"WELLSTONE DEATH BRINGS NEW FOCUS TO SENATE BATTLES","senate campaigns and wellstone's death"
20090,2002,19,1921,"At Least 67 Captives and 50 Chechens Die in Siege","Chechen theater siege aftermath"
20091,2002,12,1299,"Miscues in Sniper Pursuit, Then Calls and a Big Break","sniper hunt"
20092,2002,16,1605,"U.S. and 2 of Its Allies Warn North Korea on Atomic Arms","North Korea warned on nuclear program"
20093,2002,19,1921,"Dread and Dreams Travel by Bus in Israel","suicide bombings and bus rides in israel"
20094,2002,12,1299,"For Teenager, Troubling Bond In Chaotic Life","sniper suspects"
20095,2002,12,1299,"Not the Usual Pattern","sniper shootings"
20096,2002,20,2012,"Democrats Looking To Familiar Face In Minnesota Race","minnesota senate race"
20097,2002,20,2012,"Election Officials Are Braced For Big Problems at the Polls","polling problems anticipated"
20098,2002,19,1921,"Leftist Handily Wins Brazilian Presidential Race","brazilian election"
20099,2002,29,2900,"Angels Beat Giants And Win the Series","world series"
20100,2002,19,1921,"Hostage Toll in Russia Over 100; Nearly All Deaths Linked to Gas","chechen attack on a russian school"
20101,2002,16,1612,"RESERVE CALL-UP FOR AN IRAQ WAR MAY EQUAL 1991'S","calling up reserves in the iraq war"
20102,2002,12,1299,"SLAYING OF WOMAN IN SNIPER ATTACKS LAID TO TEENAGER","sniper attacks"
20103,2002,19,1927,"Southeast Asia Remains Fertile For Al Qaeda","Al Qaeda in southeast asia"
20104,2002,23,2300,"From Offenbach to Athleticism, Ballet Theater Shows Its Eclectic Nature","ballet"
20105,2002,12,1299,"Counties in Virginia File Sniper Charges; U.S. to Act as Well","sniper charges filed"
20106,2002,19,1921,"PUTIN VOWS HUNT FOR TERROR CELLS AROUND THE WORLD","putin speaking about terrorism"
20107,2002,19,1927,"AMERICAN ENVOY KILLED IN JORDAN","american diplomat killed in jordan"
20108,2002,16,1615," In Data Trove, a Graphic Look at Towers' Fall","collapse of towers on 9/11"
20109,2002,12,1299,"4 Die in Arizona Shooting Rampage","shooting in arizona"
20110,2002,19,1921,"U.S. Suspects Opiate in Gas In Russia Raid","gas used in russian hostage raid"
20111,2002,19,1925,"Freed Afghan Prisoner","freed guantanamo bay prisoners"
20112,2002,16,1605,"ARMS INSPECTORS BACK TOUGH TERMS TO PRESSURE IRAQ","arms inspectors back tough terms for iraq"
20113,2002,16,1619,"With Allies Likely and Unlikely, U.S. Navy Stems Flow of Iraqi Oil","illegal oil in iraq"
20114,2002,1,103,"SPECIAL TODAY/Working","employment"
20115,2002,24,2400," Pataki's Record: 2 Terms, Unexpected Turns","NY governor race, patakis past promises"
20116,2002,20,2012,"Pleas for Cash As Campaigns Hit Final Days","final days of the midterm campaigns"
20117,2002,16,1619,"Muslim-as-Apple-Pie Videos Are Greeted With Skepticism","US government video shown in the middle east"
20118,2002,12,1299,"U.S. SNIPER CASE SEEN AS A BARRIER TO A CONFESSION","sniper case"
20119,2002,16,1605,"U.S. AND FRANCE NEAR COMPROMISE ON ACTION ON IRAQ","US and France talking about Iraq"
20120,2002,24,2400,"Old-Fashioned Graft","Graft in NJ"
20121,2002,9,900,"200 Haitians Scramble From Boat in Florida","illegal immigrants from Haiti"
20122,2002,30,3000,"A Farewell to Wellstone","memorial service for Wellstone"
20123,2002,19,1921,"Israel Coalition Nears Collapse In Budget Fight","Israeli government"
20124,2002,19,1910,"Herring, the Fish That Roared","Herring in Sweden"
20125,2002,20,2012,"To Retake House, Democrats Campaign on Buddy System","democrats campaigning for congress"
20126,2002,20,2012,"MONDALE ACCEPTS PARTY CALL TO RUN IN MINNESOTA RACE","mondale to run in minnesota senate race"
20127,2002,6,601,"B's, Not Need, Are Enough For Some State Scholarships","merit based state scholarships"
20128,2002,16,1619,"Attacks on Schools for Girls Hint At Lingering Split in Afghanistan","attacks on girls schools in afghanistan, anti-American sentiment"
20129,2002,15,1502,"Audit Overseer Cited Problems In Previous Post","new SEC audit overseer"
20130,2002,19,1921,"Russia Names Drug in Raid, Defending Use","Russia names drug used in hostage raid"
20131,2002,19,1921,"SHARON COALITION SHATTERS AS LABOR QUITS OVER BUDGET","Coalition for Sharon Breaks"
20132,2002,23,2300,"Unloading Art in Uneasy Times","art auctions"
20133,2002,19,1921,"Sharon Picks Rightist For Defense Minister","Sharon chooses a new defense minister"
20134,2002,26,2600,"Quake Hits Southern Italy","earthquake in southern italy"
20135,2002,15,1502,"3 INQUIRIES BEGUN INTO S.E.C.'S CHOICE OF AUDIT OVERSEER","inquiries into new SEC audit overseer"
20136,2002,24,2400,"Cautious Pragmatism of McCall Has Left Little Voter Recognition","NY governor race"
20137,2002,15,1526,"Worker Dismissed As Inquiry Widens Into Big Racing Bet","a rigged bet"
20138,2002,30,3000,"Shock at Killing of Rap Star With Loyal Good-Guy Image","rap star killed"
20139,2002,12,1299,"LOUISIANA ACCUSES 2 SNIPER SUSPECTS IN SEPT. 23 KILLING","sniper suspects accused in LA killing"
20140,2002,19,1921,"From Anxiety, Fear and Hope, The Deadly Rescue in Moscow","hostage rescue in moscow"
20141,2002,16,1615,"Qaeda Uses Teeming Karachi As New Base, Pakistanis Say","Al Qaeda in Karachi"
20142,2002,31,3100,"Cultivating Jewish History","orthodox jew farm in massachusetts"
20143,2002,29,2900,"Notre Dame Goes for 9-0","college football"
20144,2002,15,1502,"SENIOR REPUBLICAN JOINS IN CRITICISM OF S.E.C. CHAIRMAN","critcism of SEC chairman"
20145,2002,12,1207,"Revised Policy Sets Tribunals For Priests Accused of Abuse","tribunals for abusive priests"
20146,2002,15,1520,"JUDGE BACKS TERMS OF U.S. SETTLEMENT IN MICROSOFT CASE JUDGE BACKS TERMS OF U.S. SETTLEMENT IN MICROSOFT CASE","Microsoft antitrust settlement"
20147,2002,15,1523,"Fountains Go Back to Work","drought restrictions lifted in NYC"
20148,2002,20,2012,"Parties Set Up Groups to Elude Soft Money Ban","groups to get around soft money bans"
20149,2002,6,602,"New York School for Chinese Is a Magnet for Black Pupils","school for chinese in NYC"
20150,2002,26,2600,"A Town in Italy Loses Its Future To Tiny Coffins","italy earthquake victims"
20151,2002,19,1910,"The Queen Saves the Butler, Ending a British Brouhaha","butler cleared of plundering charges in Princess Di case"
20152,2002,29,2900,"Pursuit of Perfection Ends for Notre Dame","college football"
20153,2002,20,2012,"THE CAMPAIGN","midterm election campaign"
20154,2002,13,1399,"Nine Decades Of Aid to Needy","NY times neediest cases fund"
20155,2002,20,2012,"IN POLL, AMERICANS SAY BOTH PARTIES LACK CLEAR VISION","midterm elections"
20156,2002,29,2900,"New York City Is U.S. Nominee For '12 Games","2012 Olympic bid process"
20157,2002,12,1299,"The Mentor and the Disciple: How Sniper Suspects Bonded","sniper suspects"
20158,2002,23,2300,"In Rap Industry, Rivalries as Marketing Tool","rap rivalries"
20159,2002,16,1619,"U.S. PILOTS IN GULF USE SOUTHERN IRAQ FOR PRACTICE RUNS","US pilots practicing in southern iraq"
20160,2002,16,1605,"NORTH KOREA SAYS NUCLEAR PROGRAM CAN BE NEGOTIATED","north korean nuclear program"
20161,2002,15,1502,"Assault on Wall St. Misdeeds Lifts Spitzer's U.S. Profile and Makes Enemies","NY attorney general"
20162,2002,20,2012,"Political Issue For the Ages","Senate campaigns"
20163,2002,20,2012,"CONTROL OF HOUSE EXPECTED TO STAY IN HANDS OF G.O.P.","control of the house"
20164,2002,19,1921,"VOTERS IN TURKEY EXPEL LEADERSHIP","elections in Turkey"
20165,2002,20,2012,"Closing Campaign Themes","end of the midterm campaign"
20166,2002,19,1921,"NETANYAHU AGREES TO A CABINET POST IF A VOTE FOLLOWS","Israeli politics"
20167,2002,19,1921,"Communists in China Invite Entrepreneurs","Communist Party Embrace New Entreprenuerial Class in China"
20168,2002,12,1210,"Amid Doubts About Competency, Mentally Ill Man Faces Execution","mentally ill man to be executed"
20169,2002,14,1403,"Earning More, But Struggling To Own a Home","rising home prices in metropolitan areas"
20170,2002,29,2900,"Heading for Home","NY marathon"
20171,2002,20,2012,"BUSH'S FINAL SWING ON EVE OF ELECTION TAKES IN 4 STATES","bush campaigns for republicans"
20172,2002,19,1927,"C.I.A. IS REPORTED TO KILL A LEADER OF QAEDA IN YEMEN","CIA kills Al Qaeda leader in yemen"
20173,2002,20,2012,"Polls and Pollsters","polling americans in elections"
20174,2002,20,2012,"For Minnesota, A Late Debate In a New Race","debate in Minnesota senate race"
20175,2002,6,601,"Boom's End Is Felt Even at Wealthy Colleges","universities cutting costs"
20176,2002,19,1921,"As China's Economy Shines, The Party Line Loses Luster","In Booming Economy, Communism Loses Luster"
20177,2002,15,1502,"A Firm Accuses Audit Overseer Of Falsehoods","accounting oversight board accused of falsehoods"
20178,2002,1,107,"Departing Chief Says the I.R.S. Is Losing Its War on Tax Cheats","IRS and tax cheats"
20179,2002,20,2012,"ELECTION HIGHLIGHTS","election highlights"
20180,2002,20,2012,"G.O.P. RETAKES CONTROL OF THE SENATE IN A SHOW OF PRESIDENTIAL INFLUENCE; PATAKI, JEB BUSH AND LAUTENBERG WIN","GOP takes senate"
20181,2002,20,2012,"President's Risks Are Rewarded at Polls","election results and Bush"
20182,2002,20,2012,"Election Ritual Makes Return: Awaiting Votes","exit polls"
20183,2002,24,2400,"Pataki Coasts to a 3rd Term; McCall Is a Distant Second","NY governor race results"
20184,2002,15,1502,"S.E.C.'s Embattled Chief Resigns In Wake of Latest Political Storm","SEC chief resigns"
20185,2002,20,2012,"Vote Solidifies Shift of South To the G.O.P.","South shifting to GOP"
20186,2002,20,2012,"VICTORIOUS REPUBLICANS PREPARING A DRIVE FOR BUSH AGENDA AND JUDGESHIP NOMINEES","Republicans setting ambitious agenda"
20187,2002,20,2012,"Victory, and Challenges","victory for Bush"
20188,2002,16,1605,"U.S. Gives U.N. an Iraq Measure, Seeking a Council Vote Tomorrow","Iraq vote scheduled at UN"
20189,2002,20,2012,"Democrats Catalog Mistakes; Gephardt Ceding House Post","democrats looking at mistakes"
20190,2002,20,2012,"CELEBRATING ON THE DAY AFTER","new minnesota senator"
20191,2002,1,100,"Challenges for Bush: Economy and S.E.C.","economic challenges for Bush"
20192,2002,1,101,"FED CUTS KEY RATE BY ONE-HALF POINT IN AGGRESSIVE MOVE","Fed cuts interest rate by half a point"
20193,2002,3,321,"Quick Test for H.I.V. Is Approved by U.S.","HIV test approved"
20194,2002,20,2012,"For One Who Crossed Line, Time for Payback Is at Hand","payback for Jeffords"
20195,2002,12,1299,"ASHCROFT DECIDES VIRGINIA WILL TRY SNIPER CASES FIRST","sniper trial"
20196,2002,16,1605,"PRESIDENT WARNS HUSSEIN TO HEED A CALL TO DISARM","Bush warns Saddam"
20197,2002,24,2400,"Mayor Seeking Quick Increase In Property Tax","NY property tax increase"
20198,2002,16,1605,"Bush Signal: Time Is Now","Bush talks about Iraq"
20199,2002,19,1921,"Party Congress Opens in China; Leadership Changes Coming","Party Congress Opens in China; Leadership Changes Coming"
20200,2002,19,1910,"A Family Dream Trip, a Train Fire and Grief","train fire in europe"
20201,2002,15,1502,"Audit Overseer Being Challenged By Firm HeDismissed at Old Job","Audit overseer challenged by a firm"
20202,2002,21,2101,"Dismantling a 9/11 Memorial, Delicately","WTC site memorial"
20203,2002,20,2012,"East and West, Voters Explain The Bush Effect","Bush impact on the election"
20204,2002,16,1605,"SECURITY COUNCIL VOTES, 15-0, FOR TOUGH IRAQ RESOLUTION; BUSH CALLS IT A 'FINAL TEST'","Security council votes for Iraq resolution"
20205,2002,16,1615,"9/11 TAPE RAISES ADDED QUESTIONS ON RADIO FAILURES","9/11 radio failures"
20206,2002,12,1299,"Hearings for Sniper Suspects","sniper suspect hearing"
20207,2002,15,1502,"Defiant S.E.C. Chief Exhorts Wall Street And Assails Critics","SEC chief attacks critics"
20208,2002,20,2012,"Pelosi Says She's Secured Votes To Be House Democrats' Leader","nancy pelosi to lead democrats in house"
20209,2002,16,1605,"Clock Ticks for Hussein","Security council resolution on Iraq"
20210,2002,16,1605,"How Powell Lined Up Votes, Starting With His President's","security council resolution on Iraq"
20211,2002,99,9900,"The Sure Thing","editors note"
20212,2002,19,1910,"Antiwar Protest in Italy","anti war protest in italy"
20213,2002,15,1526,"3 Friends and Big Payoff Pose Tough Questions for Racing","betting on horse racing"
20214,2002,16,1619,"WAR PLAN FOR IRAQ CALLS FOR BIG FORCE AND QUICK STRIKES","plans for iraq war"
20215,2002,16,1605,"U.N. Plans Immediate Test of Iraq Inspections","UN to test iraq inspections"
20216,2002,29,2900,"No. 1 Oklahoma Upset","college football"
20217,2002,12,1207,"Scandal Is Stirring Lay Catholics To Push Church for More Power","catholic abuse scandal"
20218,2002,3,321,"Menopause Without Pills: Rethinking Hot Flashes","hormone regimen for menopause"
20219,2002,15,1502,"Praise to Scorn: Mercurial Ride Of S.E.C. Chief","SEC chief"
20220,2002,7,705,"Our Air, Their Air: Most of It Is Bad","air pollution study"
20221,2002,20,2012,"Mr. Outsider Is an Insider (Don't Blink)","minnesota's interim senator"
20222,2002,21,2104,"Arkansas Rice Farmers Run Dry, And U.S. Remedy Sets Off Debate","irrigation water for arkansas farmers"
20223,2002,16,1605,"IRAQ INSPECTIONS RECEIVE APPROVAL FROM ARAB LEAGUE","Arab league approves iraq inspections"
20224,2002,3,333,"More Than Death, Fearing a Muddled Mind","alzheimers disease"
20225,2002,19,1921,"India Still Struggles To Curb AIDS Cases","AIDS in India"
20226,2002,1,100,"BUSH'S WAY CLEAR TO PRESS AGENDA FOR THE ECONOMY","Bush economic agenda"
20227,2002,26,2600,"Trying to Remember That This Is November","mild weather"
20228,2002,1,100,"Fears Increase, But Consumers Keep Spending","consumer spending"
20229,2002,23,2300,"Polishing Hollywood's Image Starts From the Sidewalk Up","hollywood's image"
20230,2002,19,1925,"Chechnya Is Caught in Grip Of Russia's Antiterror Wrath","terrorism and the war in chechnya"
20231,2002,20,2011,"F.B.I. Attacks Firearm Agency In Draft Report","FBI attacks firearm agency"
20232,2002,26,2600,"AT LEAST 36 DEAD IN THE AFTERMATH OF 66 TORNADOES","tornadoes hit US"
20233,2002,6,601,"Colleges Find Diversity Is Not Just Numbers","diversity on college campuses"
20234,2002,26,2600,"Alert Theater Manager Sent Moviegoers to Safety","tornado aftermath"
20235,2002,2,202,"At Club in Augusta, Policy of Chairman Remains 'Men Only'","augusta golf club policy on women"
20236,2002,16,1605,"IRAQ SAID TO TRY TO BUY ANTIDOTE AGAINST NERVE GAS","Iraq buying a nerve gas antidote"
20237,2002,20,2030,"A Day to Look Back on War","veterans day"
20238,2002,20,2011,"Stalemate Ends In Bush Victory On Terror Bill","homeland security bill agreement reached"
20239,2002,19,1927,"New Recording May Be Threat From bin Laden","bin laden recording"
20240,2002,15,1526,"3 Charged as Bumblers Who Rigged Big Bet","3 charged in bet rigging scheme"
20241,2002,16,1605,"ARMS INSPECTORS IN IRAQ TO DEPLOY NEW TECHNOLOGY","arms inspectors in iraq"
20242,2002,12,1207,"Cardinal Law Tries New Tack In Handling of Abuse Issues","Catholic priest abuse case"
20243,2002,10,1003,"Remembering Flight 587 Victims","airplane crash anniversary"
20244,2002,15,1502,"WEBSTER RESIGNS AS HEAD OF BOARD TO OVERSEE AUDITS","audit board head resigns"
20245,2002,20,2011,"Freshman Lawmakers Get Their Bearings","new lawmakers arrive"
20246,2002,19,1921,"Rarity of Black-Run Businesses Worries South Africa's Leaders","black run businesses in South africa"
20247,2002,19,1927,"As New Tape Is Evaluated, Bush Calls Qaeda Threat Real","new al qaeda tape"
20248,2002,15,1520,"Wall St. and the Nursery School: A New York Story","business corruption story"
20249,2002,16,1605,"IRAQ TELLS THE U.N. ARMS INSPECTIONS WILL BE PERMITTED","Iraq will allow inspections"
20250,2002,12,1207,"BISHOPS PASS PLAN TO FORM TRIBUNALS IN SEX ABUSE CASES","catholic sex abuse scandal"
20251,2002,16,1619,"Annan Presses Bush to Avoid A Rush to War","Kofi Annan and Iraq"
20252,2002,6,601,"School Learns Cost of a Gift-Giver's Anger","angry college donor"
20253,2002,24,2400,"Mayor Seeking An Income Tax On Commuters","nyc mayor wants a commuter tax"
20254,2002,16,1619,"Bishops Say War Fails Test","Catholic bishops and the Iraq war"
20255,2002,16,1605,"(Photo)","Iraq to admit UN inspectors"
20256,2002,23,2300,"Tuning Up, Counting Down","orchestra performance"
20257,2002,19,1921,"Mystery Man At the Helm Hu Jintao","New Party Chief Hu Jintao"
20258,2002,19,1921,"CHINA CARRIES OUT AN ORDERLY SHIFT OF ITS LEADERSHIP","China Transitions Leadership Peacefully; Hu Jintao"
