id,year,majortopic,subtopic,title,summary
112,1996,7,704,"PROGRAM TO CLEAN TOXIC WASTE SITES IS LEFT IN TURMOIL","toxic waste cleanup"
113,1996,20,2012,"POLITICS: A NEW POPULIST; Idaho Freshman Embodies G.O.P.'s Hope and Fear in '96","new radical republican"
114,1996,19,1921,"THE NEXT WONDER: A special report.; Cracks Show Early in China's Big Dam Project","china building a dam"
115,1996,15,1524,"Warm Resorts Fill As Cabana Fever Grips Icy Easterners","lots of northerners vacationing in the south"
116,1996,17,1701,"Space Telescope Reveals 40 Billion More Galaxies","hubble space telescope"
117,1996,20,2012,"Mrs. Dole to Resume Career Even if She Is the First Lady","elizabeth dole"
118,1996,19,1921,"Old-Style Ward Politics Won For Turkey's Islamic Party","elections in turkey"
119,1996,2,201,"Remembering Martin Luther King","service for martin luther king"
120,1996,19,1921,"Mexico Arrests A Top Suspect In Drug Trade","mexico arrests a drug suspect"
121,1996,19,1921,"Russians Pounding Rebels Who Hold 100 Hostages","russia attacking in chechnya"
122,1996,20,2012,"Senator Cohen, G.O.P. Centrist, Plans to Retire ","GOP senator to retire"
123,1996,20,2010,"Defense, and Promotion, by Hillary Clinton ","hillary clinton's new book and whitewater controversy"
124,1996,19,1921,"Citing Security, China Will Curb Foreign Financial News Agencies ","china curbing foreign news"
125,1996,17,1701,"Found: Most of Missing Matter Lost Around Edges of Universe","people find some missing matter"
126,1996,12,1208,"ASSEMBLY PASSES A BILL REGULATING CHILDBIRTH STAYS","law on childbirth stay length"
127,1996,19,1921,"CHECHEN REBELS WIDEN RESISTANCE, HIJACKING A FERRY ","chechen-russia fighting"
128,1996,19,1921,"A KEY REFORMER RESIGNS IN RUSSIA","economic reformer resigns in russia"
129,1996,20,2012,"In Iowa, It's Organizing vs. Advertising ","iowa caucuses"
130,1996,19,1921,"Saying Hostages Are Dead, Russians Level Rebel Town ","russia fighting in chechnya"
131,1996,1,105,"BUDGET STANDOFF DEEPENS AS G.O.P. CALLS OFF TALKS","budget crisis"
132,1996,18,1802,"Trade Organization Rules Against U.S.","WTO ruling against US"
133,1996,17,1709,"It's Been an Uphill Battle to Sell Windows 95","microsoft struggles to sell windows 95"
134,1996,30,3000,"Barbara Jordan Dies at 59; Her Voice Stirred the Nation","barbara jordon dies"
135,1996,19,1927,"SHEIK SENTENCED TO LIFE IN PRISON IN BOMBING PLOT","shiekh sentenced in a bombing plot trial"
136,1996,17,1701,"Life in Space? 2 New Planets Raise Thoughts","new planets discovered"
137,1996,20,2012,"G.O.P. Candidates Divide Religious Right","religious right and the republican primary"
138,1996,3,398,"No Benefit Is Found From Beta Carotene","study of beta carotene"
139,1996,29,2900,"Baseball Approves Interleague Play","interleague play in baseball"
140,1996,5,504,"Giuliani Fights For Alternative On Arbitration","nyc labor disputes"
141,1996,19,1921,"In Uneasy Time, Saudi Prince Provides a Hope of Stability ","uneasy time in saudi arabia"
142,1996,1,105,"REPUBLICANS LACK CONSENSUS ON HOW TO BAR SHUTDOWN","republican positioning on budget troubles"
143,1996,20,2010,"Missing Records Were on a Table In the White House, Aide Testifies ","missing hillary clinton records"
144,1996,19,1921,"RUSSIANS CAPTURE CAUCASUS VILLAGE; SOME FOES ESCAPE","russians fighting in the caucasus"
145,1996,19,1921,"Stirred by Flashy Entrepreneur, Tokyo Market Hits Panic Mode","allegations of a company's securities fraud throws Japanese stock market into panic"
146,1996,31,3100,"Giuliani Visits Mosque","NY mayor goes to a mosque"
147,1996,10,1003,"RASH OF FAILURES IN FLIGHT CONTROL","Cause of power failures at regional air traffic control centers"
148,1996,5,500,"Employers Add to Payrolls","Labor Department report eases fears of recession"
149,1996,26,2600,"As if Winter's Fury Wasn't Enough","weather in NYC"
150,1996,19,1927,"Pro-Chechen Ferry Hijackers Surrender to Turks","Pro-Chechen hijackers surrender to Turkish authorities"
151,1996,20,2012,"POLITICS: IN THE SOUTH; A Southern Democrat Resists The Lure of Party Switching","Democrat Representative distances himself from other Democrats"
152,1996,12,1205,"New Jersey Seizes Jail From a County, Citing Poor Control ","new jersey takes a jail over from a county"
153,1996,1,103,"NEW YORK REGION REGISTERS A SURGE IN UNEMPLOYMENT","unemployment in new york"
154,1996,19,1921,"BOSNIA FOES FINISH PULLBACK BUT FAIL ON P.O.W. RELEASE","Bosnian forces pull back troops and weapons from front line"
155,1996,19,1925,"NATO Cannot Meet Requests of Tribunal","war crimes tribunal in bosnia"
156,1996,20,2011,"Revolution Scorecard","Progress of major legislative initiatives"
157,1996,19,1921,"Arafat Backed In First Voting By Palestinians","Palestinians endorse Arafat in first general election"
158,1996,19,1921,"DEADLY TURNING POINT: A special report.; AIDS Epidemic, Late to Arrive, Now Explodes in Populous Asia ","AIDS in Thailand affects Buddhist temple"
159,1996,16,1602,"G.I.'s Moment of Truth: Face to Face With Serbs","NATO forces disarming combatants in Bosnia and Herzegovina"
160,1996,20,2012,"A Grand Old Party Animal Tries Courting Young Voters","Bob Dole campaigning for Presidency"
161,1996,17,1701,"With the Greatest of Ease . . .","space shuttle lands"
162,1996,20,2012,"G.O.P. REVOLUTION HITS SPEED BUMPS ON CAPITOL HILL","Republican Revolution stalled on Capitol Hill"
163,1996,12,1205,"New Jersey Jail Raid Is Unusual, But the Reasons for It Are Not ","New Jersey jail raid"
164,1996,19,1929,"A Puzzling Path: From P.S. 40 to a Cell in Peru","American citizen sentenced to life in prison in Peru for treason"
165,1996,26,2600,"THE FLOODING AFTER THE STORM: THE OVERVIEW; Flooding Called Worst in Decades","floods"
166,1996,24,2400,"Giuliani Faces Another Deficit Despite Cutting","Guiliani faces deficit despite cutting"
167,1996,20,2012,"A DEFAULT THREAT IS HINTED AS WAY TO SETTLE BUDGET","Republican effort to revive party's economic and socail agendas"
168,1996,20,2012,"Firebrand Who Got Singed Says Being Speaker Suffices","Newt Gingrich feels stress of being Speaker"
169,1996,19,1921,"Mexico City Journal; Mariachis of Mexico Are Living the Blues","Bitter times for Mariachis"
170,1996,19,1921,"10 Days That Shook Russia: Siege in the Caucasus","Chechens seize hostages"
171,1996,2,207,"Supreme Court Roundup; Christian Scientists Rebuffed in Ruling By Supreme Court","Supreme Court refuses to hear appeal by Christian Scientists"
172,1996,23,2300,"A Michelangelo on 5th Ave.? It Seems So","Sculpture by Michelangelo"
173,1996,20,2011,"An Irate G.O.P. Set to Take On State of Clinton","Republicans meet on response to State of the Union"
174,1996,20,2010,"Hillary Clinton Is Subpoenaed To Testify Before a Grand Jury","investigaton of hillary clinton"
175,1996,20,2012,"TREASURY CHIEF WARNS CONGRESS ABOUT DEFAULT","Congress warned about national default"
176,1996,19,1921,"Chechen Insurgent, Still Defiant, Pledges to Carry On the Struggle ","Chechen rebels escape with hostages"
177,1996,26,2600,"A Flood-Torn Village Finds It Has Friends From the City","Firefighters help flood-ravaged town"
178,1996,20,2011,"STATE OF THE UNION: THE RESPONSE; Dole Says President Defends Old Elites Seeking Largesse","Republican response to Clinton's State of the Union"
179,1996,7,700,"On the Environment, Pataki Is Seen in All Shades of Green ","NY governor position on the environment"
180,1996,3,333,"Patients Challenge Mental Health Plans","mental health care"
181,1996,10,1003,"Newark Airport Is Pressing to Surpass Kennedy","newark airport is growing"
182,1996,16,1619,"FEARING ATTACK, U.S. IS TIGHTENING BOSNIA SECURITY ","reports of possible attacks on US troops in bosnia"
183,1996,20,2011,"STATE OF THE UNION: THE OVERVIEW; CLINTON OFFERS CHALLENGE TO NATION, DECLARING, 'ERA OF BIG GOVERNMENT IS OVER' ","state of the union address"
184,1996,18,1800,"INTERNATIONAL BUSINESS; Japan Trade Surplus Shrinks For the First Time in 5 Years","japan trade surplus sinks"
185,1996,20,2012,"STATE OF THE UNION: THE ASSESSMENT; Talking Like a Front-Runner","clinton gives a campaign speech"
186,1996,3,398,"Final Stock of the Smallpox Virus Now Nearer to Extinction in Labs","WHO decides to kill the last smallpox viruses"
187,1996,3,398,"Tick Disease Advance","lyme disease research"
188,1996,20,2011,"Clinton Wins Praise For Talk on Values","clinton's state of the union address"
189,1996,1,105,"G.O.P. LAWMAKERS OFFER TO ABANDON DEBT-LIMIT THREAT","budget dispute"
190,1996,20,2012,"House Democrats Buoyed, But G.O.P. Retains an Edge ","strategizing for the fall elections"
191,1996,24,2400,"Giuliani Weighs Reducing Police Force by 1,000 Jobs ","NYC budget woes"
192,1996,8,803,"New Flexibility By Iraq on Oil Worries Market","potential for a drop in oil prices"
193,1996,19,1921,"In Japan, a Ritual of Mourning for Abortions ","abortion in japan"
194,1996,7,700,"G.O.P. BACKING OFF FROM TOUGH STAND OVER ENVIRONMENT","GOP changing position on the environment"
195,1996,1,105,"MEASURE TO AVERT A THIRD SHUTDOWN IS PASSED IN HOUSE","budget dispute in the house"
196,1996,1,100,"Flood of Cash to Mutual Funds Helped to Fuel '95 Bull Market","mutual funds doing well"
197,1996,19,1921,"Yeltsin Picks Soviet-Era Aide To Guide Russian Economy","new choice for russia's top economic official"
198,1996,10,1001,"It's Official: Taxi Fares Will Rise","NYC to raise taxi fares"
199,1996,12,1201,"Giuliani Vows No Patrol Cuts If He Trims the Police Force","NYC to not reduce number of police officers despite budget troubles"
200,1996,19,1921,"U.S. Plan to Change Iran Leaders Is an Open Secret Before It Begins","CIA campaign to change iran's government"
201,1996,19,1910,"African Women in France Battling Polygamy","polygamy among africans in france"
202,1996,19,1906,"INTERNATIONAL BUSINESS; MEXICO TO REPAY PART OF U.S. LOAN","mexico paying back money in US"
203,1996,19,1921,"Economic Surge in BangladeshUndercut by Political Turmoil","political turmoil in bangladesh"
204,1996,23,2300,"When Idols Collide","the movie evita"
205,1996,20,2010,"Hillary Clinton Tells Grand Jury She Cannot Account for Records","investigation of hillary clinton"
206,1996,12,1200,"News Analysis; Giuliani Credits Strategy For the City's Safer Streets","crime in NYC drops"
207,1996,12,1299,"Du Pont Accused of a Killing Holds Off Police at His Home","murder suspect holds off police"
208,1996,3,341,"CBS News Televises Disputed Interview On Tobacco Giant","cbs airs an interview with a tobacco executive"
209,1996,1,105,"3D U.S. SHUTDOWN AVERTED BY BILL ON STOPGAP PLAN","government budget crisis"
210,1996,19,1921,"Russian Banking Scandal Poses Threat to Future of Privatization","bank scandal in russia"
211,1996,12,1299,"DESPARATE STAND IN A DREAM WORLD","murder suspect arrested"
212,1996,17,1701,"Challenger's Legacy; Risks Remain Despite NASA's Rebuilding","legacy of the challenger explosion"
213,1996,29,2900,"SUPER BOWL","super bowl preview"
